,dewpoint,height,pressure,relative humidity,temperature
0,999.0,129.0,1000.0,999.0,999.0
1,8.6,229.0,989.0,34.0,25.6
2,999.0,304.0,9999.0,999.0,999.0
3,999.0,609.0,9999.0,999.0,999.0
4,5.8,814.6,925.0,39.9,19.8
5,999.0,914.0,9999.0,999.0,999.0
6,999.0,1219.0,9999.0,999.0,999.0
7,2.8,1525.0,850.0,50.6,12.8
8,999.0,1828.0,9999.0,999.0,999.0
9,999.0,2133.0,9999.0,999.0,999.0
10,999.0,2438.0,9999.0,999.0,999.0
11,0.8,2484.5,757.0,83.1,3.4
12,-1.3,2690.5,738.0,78.8,2.0
13,-9.2,2712.5,736.0,40.9,2.8
14,999.0,2743.0,9999.0,999.0,999.0
15,-20.8,2779.0,730.0,14.2,4.2
16,-28.6,2891.5,720.0,7.0,4.4
17,-29.6,3117.0,700.0,6.8,3.4
18,-32.8,3580.2,661.0,6.3,0.2
19,999.0,3657.0,9999.0,999.0,999.0
20,-24.5,3989.3,628.0,16.6,-2.5
21,-7.3,4207.0,611.0,74.9,-3.5
22,999.0,4267.0,9999.0,999.0,999.0
23,-8.4,4698.5,574.0,87.7,-6.7
24,999.0,4876.0,9999.0,999.0,999.0
25,-10.4,4933.1,557.0,79.7,-7.5
26,-14.3,5045.9,549.0,57.3,-7.3
27,-15.1,5392.3,525.0,70.0,-10.7
28,-17.2,5760.0,500.0,71.3,-13.1
29,-17.5,5867.3,493.0,74.2,-13.9
30,999.0,6095.0,9999.0,999.0,999.0
31,999.0,7315.0,9999.0,999.0,999.0
32,-33.7,7430.0,400.0,39.3,-23.7
33,-35.7,7466.6,398.0,32.3,-23.7
34,999.0,7619.0,9999.0,999.0,999.0
35,-40.5,8151.6,362.0,33.6,-29.5
36,-48.1,8452.6,347.0,17.2,-31.1
37,999.0,8534.0,9999.0,999.0,999.0
38,-44.1,8722.1,334.0,32.4,-33.1
39,999.0,9143.0,9999.0,999.0,999.0
40,-54.3,9470.0,300.0,18.8,-39.3
41,999.0,9753.0,9999.0,999.0,999.0
42,999.0,10667.0,9999.0,999.0,999.0
43,-55.9,10690.0,250.0,49.1,-49.9
44,-62.9,11599.4,217.0,52.6,-57.9
45,-64.9,12110.0,200.0,51.9,-59.9
46,999.0,12191.0,9999.0,999.0,999.0
47,-70.3,13042.4,172.0,43.5,-64.3
48,-66.1,13491.7,160.0,31.0,-57.1
49,999.0,13715.0,9999.0,999.0,999.0
50,-69.1,13900.0,150.0,23.1,-58.1
51,999.0,14325.0,9999.0,999.0,999.0
52,999.0,15239.0,9999.0,999.0,999.0
53,-79.1,15447.9,117.0,9.8,-63.1
54,-79.5,16410.0,100.0,8.5,-62.5
55,999.0,16450.0,9999.0,999.0,999.0
56,-78.9,16547.4,97.8,8.6,-61.9
57,999.0,16760.0,9999.0,999.0,999.0
58,-81.7,17119.8,89.1,8.0,-64.7
59,999.0,17370.0,9999.0,999.0,999.0
60,-78.9,17586.0,82.6,7.6,-60.9
61,-80.5,18610.0,70.0,7.2,-62.5
62,999.0,18890.0,9999.0,999.0,999.0
63,-81.1,19094.8,64.7,7.1,-63.1
64,999.0,19500.0,9999.0,999.0,999.0
65,-75.7,20710.0,50.0,6.5,-55.7
66,999.0,21330.0,9999.0,999.0,999.0
67,-75.5,21542.2,43.9,5.2,-53.5
68,-74.9,24000.0,30.0,4.7,-51.9
69,-73.7,24636.6,27.2,4.9,-50.7
70,-70.5,26219.0,21.4,3.9,-44.5
71,-69.3,26670.0,20.0,4.0,-43.3
72,999.0,27430.0,9999.0,999.0,999.0
73,999.0,28040.0,9999.0,999.0,999.0
74,999.0,29260.0,9999.0,999.0,999.0
75,999.0,30480.0,9999.0,999.0,999.0
76,-63.7,31420.0,10.0,4.0,-35.7
77,-61.3,32166.7,9.0,3.9,-32.3
78,999.0,32610.0,9999.0,999.0,999.0
