,dewpoint,height,pressure,relative humidity,temperature
0,17.4,0.0,1026.0,75.2,22.0
1,17.1,230.0,1000.0,84.4,19.8
2,16.5,386.7,982.0,88.7,18.4
3,10.4,715.8,945.0,67.6,16.4
4,11.0,897.8,925.0,79.0,14.6
5,8.7,1356.3,876.0,84.6,11.2
6,4.0,1471.7,864.0,62.0,11.0
7,-11.0,1569.5,854.0,17.7,13.0
8,-13.6,1607.0,850.0,14.0,13.4
9,-14.6,1656.8,845.0,12.9,13.4
10,-22.0,2417.9,772.0,7.5,12.0
11,-11.4,2670.9,749.0,21.5,9.6
12,-28.8,3223.0,700.0,6.0,6.2
13,-32.8,3864.0,647.0,5.9,1.2
14,-51.5,5821.7,505.0,1.9,-10.5
15,-52.1,5890.0,500.0,1.9,-11.1
16,-32.9,7550.0,400.0,47.3,-24.9
17,-34.5,7641.4,395.0,42.7,-25.5
18,-43.9,8250.1,363.0,22.2,-28.9
19,-39.9,8429.3,354.0,37.2,-29.9
20,-40.9,8861.4,333.0,49.2,-33.9
21,-49.1,9249.8,315.0,22.6,-35.1
22,-50.9,9590.0,300.0,24.3,-37.9
23,-49.3,9988.9,283.0,41.6,-41.3
24,-52.3,10331.1,269.0,40.5,-44.3
25,-60.9,10820.0,250.0,20.9,-47.9
26,-68.9,11420.9,228.0,12.6,-52.9
27,-70.5,12250.0,200.0,25.7,-60.5
28,-73.7,12930.8,179.0,36.6,-66.7
29,-79.1,13788.0,155.0,39.8,-73.1
30,-76.5,13980.0,150.0,35.4,-69.5
31,-85.5,15124.7,124.0,4.7,-65.5
32,-91.5,16420.0,100.0,2.8,-69.5
33,-93.7,17393.1,84.9,2.2,-70.7
34,-89.9,17765.3,79.8,2.0,-64.9
35,-90.1,18253.1,73.7,1.3,-62.1
36,-91.7,18570.0,70.0,1.1,-62.7
37,-92.7,19053.9,64.7,1.0,-63.7
38,-90.7,19934.1,56.1,1.0,-60.7
39,-92.1,20650.0,50.0,1.0,-63.1
40,-92.1,21176.1,45.9,1.0,-63.1
41,-89.3,21892.8,40.9,0.9,-58.3
42,-87.5,23860.0,30.0,0.8,-54.5
43,-88.3,24390.5,27.6,1.0,-57.3
44,-86.7,25660.6,22.6,1.0,-54.7
45,-83.5,26387.0,20.2,0.9,-49.5
46,-83.9,26460.0,20.0,0.9,-49.9
47,-84.7,27790.6,16.3,1.1,-52.7
48,-82.7,28828.2,13.9,0.9,-48.7
49,-84.1,30187.4,11.3,0.9,-50.1
50,-80.7,30990.0,10.0,0.9,-45.7
51,-80.1,31622.6,9.1,0.9,-44.1
52,-82.3,33280.0,7.1,1.0,-48.3
53,-79.9,33666.2,6.7,1.0,-44.9
54,-79.9,34755.5,5.7,0.9,-43.9
