,dewpoint,height,pressure,relative humidity,temperature
0,22.4,0.0,1019.0,76.0,27.0
1,18.0,176.0,1000.0,65.1,25.0
2,17.4,534.0,960.0,77.0,21.6
3,14.6,856.3,925.0,72.9,19.6
4,9.0,1432.4,865.0,63.2,16.0
5,4.2,1580.0,850.0,44.8,16.2
6,-0.4,1650.7,843.0,31.4,16.6
7,-18.0,3201.0,700.0,16.0,6.0
8,-17.6,3558.9,670.0,19.8,3.4
9,-32.0,3982.1,636.0,5.6,3.0
10,-29.9,4642.0,586.0,9.0,-0.9
11,-32.7,5104.9,553.0,7.3,-1.7
12,-43.3,5890.0,500.0,3.8,-7.3
13,-52.9,6501.3,462.0,1.8,-11.9
14,-37.1,7571.8,401.0,18.8,-19.1
15,-37.3,7590.0,400.0,18.7,-19.3
16,-41.1,8223.3,367.0,21.1,-25.1
17,-49.3,8464.3,355.0,9.6,-26.3
18,-40.3,8838.3,337.0,33.7,-29.3
19,-50.3,9227.9,319.0,15.0,-32.3
20,-49.9,9660.0,300.0,22.3,-35.9
21,-61.5,10890.0,250.0,16.5,-46.5
22,-65.5,11465.9,229.0,17.2,-51.5
23,-72.5,12209.5,204.0,10.3,-55.5
24,-73.7,12340.0,200.0,10.0,-56.7
25,-79.9,13390.5,169.0,9.6,-63.9
26,-81.3,14120.0,150.0,10.6,-66.3
27,-93.7,16540.0,100.0,2.5,-71.7
28,-94.5,16737.5,96.7,2.4,-72.5
29,-94.5,17264.5,88.4,2.4,-72.5
30,-93.7,17909.7,79.3,1.4,-67.7
31,-97.3,18276.6,74.6,0.8,-68.3
32,-96.1,18660.0,70.0,0.8,-67.1
33,-93.9,20700.0,50.0,0.9,-64.9
34,-92.7,21066.1,47.1,0.9,-62.7
35,-92.9,21158.3,46.4,0.9,-62.9
