,dewpoint,height,pressure,relative humidity,temperature
0,13.5,0.0,1009.0,79.9,17.0
1,13.1,105.0,1000.0,81.9,16.2
2,10.1,763.0,925.0,96.7,10.6
3,10.1,772.0,924.0,96.7,10.6
4,4.3,1463.0,850.0,85.2,6.6
5,1.8,1727.7,823.0,79.8,5.0
6,-1.4,2448.7,753.0,85.2,0.8
7,-3.1,3032.0,700.0,88.8,-1.5
8,-4.6,3584.2,653.0,92.1,-3.5
9,-17.4,4976.3,546.0,70.1,-13.1
10,-24.9,5640.0,500.0,59.1,-18.9
11,-34.5,6446.2,448.0,46.8,-26.5
12,-39.7,6943.7,418.0,37.2,-29.7
13,-41.7,7250.0,400.0,36.5,-31.7
14,-49.3,8361.5,341.0,33.8,-39.3
15,999.0,9118.1,305.0,999.0,-43.9
16,999.0,9230.0,300.0,999.0,-44.3
17,999.0,10440.0,250.0,999.0,-48.3
18,999.0,11578.5,210.0,999.0,-52.1
19,999.0,11900.0,200.0,999.0,-52.3
20,999.0,13750.0,150.0,999.0,-54.3
21,999.0,13923.1,146.0,999.0,-54.5
22,999.0,15165.1,120.0,999.0,-59.5
23,999.0,15542.3,113.0,999.0,-57.9
24,999.0,16182.4,102.0,999.0,-61.5
25,999.0,16310.0,100.0,999.0,-61.3
26,999.0,17643.0,80.8,999.0,-57.3
27,999.0,18550.0,70.0,999.0,-58.9
28,999.0,19120.8,63.9,999.0,-59.7
29,999.0,19644.8,58.8,999.0,-55.9
30,999.0,20670.0,50.0,999.0,-55.3
31,999.0,23950.0,30.0,999.0,-53.1
32,999.0,24510.7,27.5,999.0,-52.9
33,999.0,26237.1,21.1,999.0,-47.3
