,dewpoint,height,pressure,relative humidity,temperature
0,9.0,0.0,1017.0,63.2,16.0
1,3.8,41.9,1012.0,47.7,14.8
2,8.4,100.6,1005.0,72.7,13.2
3,8.3,172.0,1000.0,74.1,12.8
4,8.1,273.4,988.0,78.1,11.8
5,5.7,821.4,925.0,89.0,7.4
6,3.5,974.1,908.0,80.6,6.6
7,-3.6,1270.1,876.0,42.6,8.4
8,-9.0,1518.0,850.0,31.0,7.0
9,-28.4,2127.5,789.0,7.5,3.6
10,-17.4,2569.8,747.0,24.6,0.6
11,-13.8,2787.8,727.0,34.1,0.2
12,-22.5,3056.9,703.0,17.2,-0.5
13,-21.7,3087.0,700.0,18.7,-0.7
14,-15.9,3236.6,687.0,33.4,-1.9
15,-20.1,3329.8,679.0,23.8,-2.1
16,-30.1,3365.1,676.0,9.6,-2.1
17,-26.3,4212.0,607.0,22.0,-8.3
18,-32.1,4644.7,574.0,14.7,-10.1
19,-18.7,5100.1,541.0,56.1,-11.7
20,-20.3,5700.0,500.0,68.9,-15.9
21,-20.4,5730.2,498.0,70.6,-16.3
22,-25.9,6147.7,471.0,54.0,-18.9
23,-28.1,6634.0,441.0,63.5,-23.1
24,-33.3,7340.0,400.0,56.6,-27.3
25,-41.5,8410.9,344.0,49.0,-34.5
26,-47.7,9086.0,312.0,42.2,-39.7
27,999.0,9350.0,300.0,999.0,-41.9
28,999.0,10252.4,262.0,999.0,-49.5
29,999.0,10560.0,250.0,999.0,-50.9
30,999.0,11672.3,210.0,999.0,-60.1
31,999.0,11980.0,200.0,999.0,-58.7
32,999.0,12336.7,189.0,999.0,-56.7
33,999.0,13790.0,150.0,999.0,-57.3
34,999.0,16350.0,100.0,999.0,-58.3
35,999.0,16884.5,91.9,999.0,-55.5
36,999.0,18313.3,73.3,999.0,-59.5
37,999.0,18610.0,70.0,999.0,-57.9
38,999.0,20750.0,50.0,999.0,-53.7
39,999.0,23882.5,30.8,999.0,-49.9
40,999.0,24050.0,30.0,999.0,-50.5
41,999.0,26710.0,20.0,999.0,-47.7
42,999.0,27984.0,16.5,999.0,-45.9
