,dewpoint,height,pressure,relative humidity,temperature
0,1.1,0.0,1018.0,74.8,5.2
1,2.1,172.0,1000.0,89.9,3.6
2,-1.3,799.7,925.0,100.0,-1.3
3,-1.5,808.4,924.0,100.0,-1.5
4,0.6,852.0,919.0,85.4,2.8
5,-15.4,1075.8,894.0,23.4,3.6
6,-7.0,1483.0,850.0,55.1,1.0
7,-7.6,1578.1,840.0,55.0,0.4
8,-18.8,1645.4,833.0,20.9,1.2
9,-21.8,1723.2,825.0,16.1,1.2
10,-28.6,2061.6,791.0,9.2,0.4
11,-24.3,2733.4,727.0,19.4,-4.3
12,-38.7,2920.2,710.0,4.7,-3.7
13,-38.1,3028.0,700.0,5.1,-4.1
14,-22.7,4105.4,610.0,31.3,-8.7
15,-30.3,5610.0,500.0,40.5,-20.3
16,-33.5,6397.5,449.0,51.6,-26.5
17,-40.5,7220.0,400.0,44.8,-32.5
18,-50.2,8840.0,316.0,58.9,-45.5
19,-53.1,9180.0,300.0,56.1,-48.1
20,-57.9,9630.8,280.0,48.4,-51.9
21,-65.9,10360.0,250.0,27.5,-55.9
22,-66.5,10462.4,246.0,27.2,-56.5
23,-67.1,10645.2,239.0,27.0,-57.1
24,-72.5,11376.1,213.0,10.3,-55.5
25,-73.7,11790.0,200.0,6.9,-53.7
26,-80.3,13650.0,150.0,1.9,-51.3
27,-80.9,13693.5,149.0,1.6,-50.9
28,-82.9,16270.0,100.0,1.7,-53.9
29,-81.7,18560.0,70.0,1.8,-52.7
30,-84.9,20740.0,50.0,0.8,-50.9
31,-81.1,23413.7,33.2,1.3,-49.1
32,999.0,24080.0,30.0,999.0,999.0
